waterbody_name,temp_sensor_model,chla_method,chla_sensor_model,ph_sensor_model,cond_sensor_model,TP_method,dissolved_P_method,NO2NO3_method,TKN_method,DOC_method,DIC_method,silica_method,chloride_method,alkalinity_method,hardness_method,turbidity_sensor,TN_method
Trout Lake,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-ntl.35.31,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Crystal Lake,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-ntl.35.31,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Big Muskellunge Lake,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-ntl.35.31,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Sparkling Lake,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-ntl.35.31,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Allequash Lake,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-ntl.35.31,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Trout Bog,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-ntl.35.31,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Crystal Bog,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-ntl.35.31,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Lake Mendota,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.38.28,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Lake Monona,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.38.28,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Fish Lake,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.38.28,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
Lake Wingra,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.29.34,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.38.28,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.2.37,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59,NA,NA,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.1.59
